,VISIT_AREA_NM,output,tourist_id,weighted_similarity,tourist_x,tourist_address_x,theme2,star,Like,scrap,telephone_x,소개,주요목적,평균 소요 시간,상세 정보,경사도(난이도),X_COORD,Y_COORD,요금 정보,편의시설,장소 특성,평일_시작,평일_끝,주말_시작,주말_끝,category,category_match,score
315,,,CONT_000000000500299,0.9942027556642719,삼사석,제주특별자치도 제주시 화북1동 1380-1,"['부모', '커플', '혼자', '친구', '아이', '문화유적지', '자연경관', '역사유적', '어트랙션']",,1.0,2.0,(+82) 064-728-2735,제주 삼신인(고.양.부)이 쏘았던 화살이 꽂혔던 돌멩이를 보관한 곳,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9942027556642719
316,,,CNTS_000000000020195,0.9938028581798057,순례자의교회,제주특별자치도 제주시 한경면 일주서로 3960-24,"['휴식/힐링', '가을', '어트랙션']",4.0,1.0,67.0,(+82) 070-7569-0460,한경에 위치한 아주 작은 교회,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9938028581798057
317,,,CNTS_000000000022631,0.9936633384587015,천왕사,제주특별자치도 제주시 1100로 2528-111,"['휴식/힐링', '가을', '단풍', '어트랙션']",5.0,3.0,62.0,(+82) 064-748-8811,아흔아홉골 자락에 위치한 경관이 좋은 사찰,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9936633384587015
318,,,CNTS_000000000018505,0.9931421188840128,마라도성당,제주특별자치도 서귀포시 대정읍 마라로 153,"['실내', '휴식/힐링', '부모', '가을', '어트랙션']",4.0,8.0,89.0,(+82) 070-4210-3200,"드라마, 영화촬영지로 인기가 많은 명소",,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9931421188840128
319,,,CONT_000000000500444,0.9931365880094154,연북정,제주특별자치도 제주시 조천읍 조천리 2690,"['문화유적지', '커플', '아이', '자연경관', '문화관광', '역사유적', '어트랙션']",,1.0,14.0,(+82),임금에 대한 사모의 충정을 보내던 조선시대의 정자 · 제주시 조천읍 조천리 · 제주도 유형문화재 제3호 · 올레18코스,,1.21875,,,,,,유도 및 안내시설,,,,,,역사유적지,2.0,0.9931365880094154
320,,,CONT_000000000500533,0.9930203535356701,제주 삼양동 유적,제주특별자치도 제주시 선사로2길 13 (삼양일동),"['아이', '문화유적지', '체험관광', '전시와행사', '실내관광지', '역사유적', '어트랙션', '무장애관광', '공영관광지']",5.0,5.0,18.0,(+82) 064-710-6806,청동기시대 후기 문화를 이해할 수 있는 마을 유적,공연/전시,1.0,연중무휴 / 마지막 입장 17:30,하,126.5876808,33.52332447,무료,"공용주차장,화장실,무료 WIFI,음료대,경보 및 피난시설",실내+실외,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9930203535356701
321,,,CNTS_000000000020013,0.9918478397711876,대장금촬영지,제주특별자치도 서귀포시 표선면 민속해안로 631-34,"['커플', '친구', '부모', '경관/포토', '테마공원', '미술/박물관', '포토스팟']",5.0,5.0,101.0,(+82) 064-787-4501,MBC 인기드라마 '대장금'의 촬영장소,,1.21875,"연중 무휴 / 매표마감 (10월~2월) - 08:30~17:00,(3월) ~17:30, (4월~7월15일, 8월16일~9월30일) ~18:00,(7월16일~8월15일) ~18:30/ 매표 종료 후 1시간 후 마감.",,,,"유료,성인 11,000원, 청소년 8,000원, 어린이 7,000원, 경로인 9,000원","공용주차장,현금결제,카드결제,화장실,편의점,음료대,경보 및 피난시설,임산부 휴게시설",,,,,,역사유적지,2.0,0.9918478397711876
322,,,CONT_000000000500382,0.9913138204782936,송죽사터,제주특별자치도 서귀포시 대정읍 안성리,"['문화유적지', '아이', '부모', '혼자', '친구', '미술/박물관', '올레', '역사유적', '어린이', '어트랙션']",,0.0,0.0,(+82) 064-760-2505,정온의 절개를 소나무와 대나무에 비유하여 넋을 기린 송죽사 터,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9913138204782936
323,,,CONT_000000000500694,0.9913093075303765,항파두리항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,"['문화유적지', '친구', '커플', '봄', '가을', '문화관광', '역사유적', '봄꽃', '유채꽃', '수국', '해바라기', '양귀비', '무장애관광', '공영관광지']",5.0,6.0,155.0,(+82) 064-710-6726,고려시대 몽골의 침략에 끝까지 저항했던 삼별초가 최후까지 항전하여 호국충정의 혼을 일깨울수 있는 역사유적지,공연/전시,1.0,연중무휴/ 17:30분 입장 마감.,하,,,무료,"공용주차장,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",실외,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9913093075303765
324,,,CNTS_000000000020170,0.9905187984854935,서귀포층패류화석산지,제주특별자치도 서귀포시 남성중로 43,"['지질공원', '해변', '경관/포토', '맑음', '자연경관', '포토스팟', '어트랙션', '유네스코']",,1.0,40.0,(+82) --,대한민국의 천연기념물 제195호,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9905187984854935
325,,,CONT_000000000500138,0.9904685754942175,대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17,"['문화유적지', '흐림', '겨울', '자연경관', '문화관광', '역사유적']",5.0,0.0,13.0,(+82) 064-794-7944,서귀포시 안덕면 사계리에 있는 조선시대의 향교,,1.21875,이용시간: 10:00~18:00,,126.288384,33.23954399,,"공용주차장,화장실,유도 및 안내시설",,10:00:00,18:00:00,10:00:00,18:00:00,역사유적지,2.0,0.9904685754942175
326,,,CONT_000000000500351,0.9902440946569242,성읍민속마을,제주특별자치도 서귀포시 표선면 성읍정의현로 19,"['문화유적지', '부모', '아이', '봄', '자연경관', '역사유적', '마을산책', '마을관광', '어린이', '제주명품42', '제주7대건축물', '사적지', '문화재', '문화관광', '무장애관광', '공영관광지']",5.0,18.0,451.0,(+82) 064-710-6797,문화유산과 조화롭게 살아가는 성읍주민들의 모습에서 제주의 옛모습을 엿보다,"공연/전시,포토스팟",1.5,"문화관광해설사 운영시간: 24.01.16~24.12.16 운영, 11~2월(동절기)09:00~16:00/ 3~10월 10~17:00 운영(점심 12:00~13:00)",하,,,무료,"공용주차장,화장실,무료 WIFI,편의점,경보 및 피난시설",실외,,,,,역사유적지,2.0,0.9902440946569242
327,,,CNTS_200000000008015,0.9899863752010989,금붕사,제주특별자치도 제주시 구좌읍 일주동로 3618-1,"['문화유적지', '사찰', '휴식', '절', '실내관광지', '체험', '역사유적', '어트랙션']",,0.0,3.0,(+82) 064-783-3202,구좌읍 하도리에 있는 한국불교 태고종 사찰.,,1.21875,,,,,,"공용주차장,화장실",,,,,,역사유적지,2.0,0.9899863752010989
328,,,CNTS_200000000010435,0.9899816036212998,제주고산리유적,제주특별자치도 제주시 한경면 노을해안로 1100,"['고산리', '신석기시대', '유적', '토기', '자연경관', '문화관광', '체험', '역사유적', '어트랙션', '반려동물', '반려동물동반입장', '반려동물동반_관광지', '무장애관광']",5.0,0.0,4.0,(+82) 064-772-0041,"우리나라! 신석기시대 최초(最初), 최고(最古), 최애(最愛) 유적, 제주 고산리 유적!","체험,공연/전시",1.5,"이용시간 : 매주 화~일요일 09:00-17:00 / 휴무 : 매주 월요일, 법정 공휴일 / 주차비, 입장료, 체험비 : 무료 / 소형견, 중형견, 대형견 입장 가능, 실내 고산리 유적센터 입장은 불가, 실외에서 동물보호법에 따라 목줄 또는 가슴줄 2미터 이내로 유지, 리드줄 및 배변봉투 필수",하,,,"무료,","공용주차장,화장실,무료 WIFI,유도 및 안내시설",실내+실외,09:00:00,17:00:00,09:00:00,17:00:00,역사유적지,2.0,0.9899816036212998
329,,,CNTS_000000000019095,0.9898971456503973,참굴비조형물,,"['포토스팟', '부모', '친구', '커플', '혼자', '휴식', '비/바람/눈', '안개/흐림', '맑음', '봄', '여름', '가을', '겨울', '중/장년', '청년', '노년', '어트랙션']",,1.0,2.0,(+82) --,추자도의 상징인 참굴비 조형물,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9898971456503973
330,,,CNTS_000000000022067,0.9898867044936,금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11,"['실내', '휴식/힐링', '사계절', '문화관광', '어트랙션']",,1.0,3.0,(+82) 064-783-5180,"제주의 동쪽 김녕리에 자리한 금룡사는 너럭바위와 소나무 등이 어우러져 청룡, 황룡의 조화를 이루는 천연도량이다.",,1.21875,연중무휴,,,,,,,,,,,역사유적지,2.0,0.9898867044936
331,,,CNTS_000000000018729,0.9891393394976589,가마오름 진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,"['친구', '아이', '문화유적지', '동굴', '오름', '문화관광', '역사유적', '도보여행', '도보', '어린이', '어트랙션']",,2.0,29.0,(+82) 064-722-2500,가슴 아픈 침략의 역사를 품고 있는 교육의 장,,1.21875,"평화박물관 휴관중으로 진입불가, 안전상 문제로 이용자제",,,,,공용주차장,,,,,,역사유적지,2.0,0.9891393394976589
332,,,CONT_000000000500379,0.9890318130212921,송악산 진지동굴,제주특별자치도 서귀포시 대정읍 상모리,"['부모', '커플', '혼자', '친구', '아이', '문화유적지', '동굴', '자연경관', '문화관광', '역사유적', '어린이']",5.0,0.0,67.0,(+82) 064-710-6704,전쟁의 상처를 간직한 일제 동굴진지,,1.21875,"동굴 내부까지 입장이 가능했으나 동굴 주변 모래로 붕괴사고 발생하여 입장불가, 낙석이 워낙 심해 추후 통제해제 여부 없음 (2022.11.22 확인)",,,,,유도 및 안내시설,,,,,,역사유적지,2.0,0.9890318130212921
333,,,CNTS_000000000022715,0.9889371791968422,성클라라수도원 금악성당,제주시 한림읍 금악북로 320,"['실내', '휴식/힐링', '흐림', '사계절', '어트랙션']",,1.0,16.0,(+82) 064-796-4188,성클라라수도원에 부속된 성당,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9889371791968422
334,,,CNTS_200000000008156,0.9883947170546719,대정현역사자료전시관,제주특별자치도 서귀포시 대정읍 상모대서로 17,"['친구', '아이', '문화공간', '전시관', '실내관광지', '문화관광', '어린이', '어트랙션']",,0.0,4.0,(+82),옛 대정면사무소를 활용해 만든 전시관,,1.21875,월요일 휴무,,,,,,,09:00:00,17:00:00,09:00:00,17:00:00,역사유적지,2.0,0.9883947170546719
335,,,CNTS_200000000008052,0.988057629881939,청수성결교회,제주특별자치도 제주시 한경면 대한로 1067,"['휴식/힐링', '교회', '실내관광지', '문화관광', '어트랙션']",,0.0,3.0,(+82) 064-773-0705,청수리마을 저청삼거리에 있는 마을 교회,,1.21875,,,,,,공용주차장,,,,,,역사유적지,2.0,0.988057629881939
336,,,CNTS_000000000018460,0.9877134442182116,명월성지,제주특별자치도 제주시 한림읍 명월리 2236,"['문화유적지', '문화관광', '역사유적', '언택트', '어트랙션']",5.0,1.0,29.0,(+82) 064-710-6704,제주특별자치도 제주시 한림읍 명월리에 있는 조선시대의 성터.,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9877134442182116
337,,,CONT_000000000500551,0.9875907993352928,제주목관아,제주특별자치도 제주시 관덕로 25,"['문화유적지', '흐림', '맑음', '사계절', '실내관광지', '역사유적', '어트랙션', '제주명품42', '제주7대건축물', '사적지', '문화재', '문화관광', '무장애관광', '공영관광지']",5.0,4.0,191.0,(+82) 064-740-6714,조선시대 제주도 관청,공연/전시,1.0,"연중무휴 09:00~18:00(17:30에 매표 마감) / 주차장 문화재 발굴 조사로 통제 중(23.05.22부터 무기한), 관덕정 서측 유료 공영주차장 이용 권장(주말(공휴일 포함) 및 야간 무료개방) / 23년 5월 1일 ~ 10월 31일 21:30까지 야간개장(월,화 제외, 무료입장)",하,,,"유료,성인 1,500원 청소년 800원, 어린이 400원 /65세 이상, 장애인 무료","공용주차장,현금결제,카드결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설",실외,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9875907993352928
338,,,CONT_000000000500260,0.9872542769016424,너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌3길 3,"['4.3', '실내', '미술/박물관', '부모', '비.눈', '봄', '자연경관', '문화관광', '제주4.3', '역사유적', '어트랙션', '무장애관광', '2022_마을산책_봄', 'Moment_봄']",5.0,11.0,102.0,(+82) 064-783-4303,제주 4.3의 상징인 조천읍 북촌리에 4.3 희생자들을 위로하여 후세들의 산 교육장으로 활용하는 기념관,"공연/전시,기타",1.5,"둘째, 넷째 월요일 휴무 /유적지 해설 가능/ 1월1일, 설연휴기간, 추석연휴기간/입장마감 17:00",하,126.6886562,33.54599701,무료,"공용주차장,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",실내+실외,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9872542769016424
339,,,CONT_000000000500287,0.9871966083530734,산방굴사,제주특별자치도 서귀포시 안덕면 사계리 산 16,"['문화유적지', '부모', '맑음', '문화관광', '역사유적']",5.0,5.0,203.0,(+82) 064-760-6321,불상이 있어 사찰로 불리는 아름다운 풍광을 가진 산방굴사,,1.21875,연중무휴,,,,"유료,성인 1,000원 / 어린이, 청소년","공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설",,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9871966083530734
340,,,CNTS_000000000019946,0.9870559278138888,귀빈사,제주특별자치도 제주시 구좌읍 비자림로 1456,"['실내', '문화유적지', '흐림', '봄', '문화관광', '역사유적', '어트랙션']",5.0,1.0,36.0,(+82) 064-710-6703,제주 송당리에있는 이승만전대통령 별장 귀빈사 입니다.,,1.21875,방문 최소 1일전 문의처로 사전 예약 필요,,,,,,,,,,,역사유적지,2.0,0.9870559278138888
341,,,CNTS_000000000019551,0.9867906152549277,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,"['문화유적지', '자연경관', '문화관광', '역사유적']",,0.0,6.0,(+82) 064-728-2731,제주 북제주군 애월읍 곽지리에 있는 청동기시대에서 원삼국시대에 걸친 시기의 패총 유적,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9867906152549277
342,,,CNTS_200000000008047,0.9865617113004668,통일관,제주특별자치도 제주시 삼성로 46,"['통일', '역사', '실내관광지', '역사유적', '어트랙션']",5.0,1.0,0.0,(+82) 064-751-0191,통일에 대한 다양한 정보와 유물 등이 있는 전시관.,,1.21875,"매주 일요일 휴무. 명절령휴에 휴무. 하절기(3~10월) 10:00~17:00, 동절기(11~2월) 10:00~16:00",,,,,,,10:00:00,17:00:00,10:00:00,17:00:00,역사유적지,2.0,0.9865617113004668
343,,,CNTS_000000000019558,0.9864426219465436,남두연대,제주특별자치도 제주시 애월읍 신엄리 2780-1,"['부모', '아이', '문화유적지', '문화관광', '역사유적', '어린이']",,0.0,4.0,(+82) 064-728-2731,아름다운 주변에 둘러쌓인 해안 절벽 위에 세워진 연대,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9864426219465436
344,,,CONT_000000000500627,0.9850805961749045,최영장군사당,제주특별자치도 제주시 추자면 대서3길 10,"['문화유적지', '흐림', '가을', '자연경관', '문화관광', '역사유적', '어트랙션']",,0.0,4.0,(+82) 064-728-2735,추자도 사람들이 최영 장군의 은덕을 기리면서 한 해의 풍어를 기원하는 장소,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9850805961749045
345,,,CONT_000000000500244,0.9850154921536689,별방진,제주특별자치도 제주시 구좌읍 하도리 3354,"['문화유적지', '맑음', '자연경관', '문화관광', '역사유적', '봄꽃', '유채꽃']",5.0,2.0,49.0,(+82) 064-710-6704,조선시대 제주도 동부지역 최대 기지였던 성,,1.21875,,,,,,유도 및 안내시설,,,,,,역사유적지,2.0,0.9850154921536689
346,,,CONT_000000000500581,0.9849670896701921,제주향교,제주특별자치도 제주시 서문로 43,"['문화유적지', '부모', '맑음', '실내관광지', '역사유적', '어트랙션', '무장애관광']",5.0,0.0,35.0,(+82) 064-757-0976,조선시대 지방민의 교육을 위해 세운 국립교육기관,,1.21875,,,,,,"공용주차장,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,09:00:00,17:00:00,09:00:00,17:00:00,역사유적지,2.0,0.9849670896701921
347,,,CONT_000000000500699,0.9842743613186604,혼인지,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,"['문화유적지', '맑음', '문화관광', '역사유적', '수국', '무장애관광', '공영관광지']",5.0,6.0,145.0,(+82) 064-710-6798,"제주특별자치도 기념물 제 17호, 탐라의 시조인 삼신인(三神人)이 혼례를 올렸다는 장소 · 서귀포시 성산읍 온평리 · 제주특별자치도 기념물 제17호 · 올레2코스","체험,포토스팟",1.0,이용시간 제한 없음,상,126.8937741,33.41519517,"무료,연중 24시. 무료","화장실,음료대,유도 및 안내시설,경보 및 피난시설",실외,08:00:00,17:00:00,08:00:00,17:00:00,역사유적지,2.0,0.9842743613186604
348,,,CONT_000000000500417,0.9839624812127947,알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리 1670,"['문화유적지', '친구', '커플', '흐림', '봄', '자연경관', '문화관광', '역사유적']",5.0,15.0,70.0,(+82) 064-710-6708,아름답고 드넓은 벌판에서 일어났던 숨은 역사의 현장을 배우고 느껴보자,,1.21875,,,,,,유도 및 안내시설,,,,,,역사유적지,2.0,0.9839624812127947
349,,,CONT_000000000500375,0.9839005901535509,송계순집터,제주특별자치도 서귀포시 대정읍 안성리 1681-1,"['맑음', '문화유적지', '사계절', '자연경관', '문화관광', '역사유적', '어트랙션']",,0.0,4.0,(+82) 064-760-2505,추사가 대정에 와서 처음 머문 집터,,1.21875,,,,,,유도 및 안내시설,,,,,,역사유적지,2.0,0.9839005901535509
350,,,CONT_000000000500513,0.9838727793912785,정의현 일관헌,제주특별자치도 서귀포시 표선면 성읍리 690,"['문화유적지', '맑음', '자연경관', '문화관광', '역사유적', '무장애관광']",,0.0,10.0,(+82) 064-760-2505,지방문화재 7호로 지정된 정의 현감이 정사를 보던 곳,,1.21875,,,,,,"공용주차장,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,역사유적지,2.0,0.9838727793912785
351,,,CNTS_000000000021622,0.9837513648327887,기독교순례길 1코스,제주특별자치도 제주시 애월읍 금성하안길 3,"['걷기/등산', '흐림', '봄', '가을', '문화관광', '도보여행', '도보', '어트랙션']",,0.0,3.0,(+82) --,숭고한 흔적이 남아 있는 순종의 길,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9837513648327887
352,,,CNTS_000000000019979,0.983491625038412,김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,"['동굴', '문화유적지', '자연경관', '문화관광', '역사유적']",,10.0,71.0,(+82) 064-783-5412,"만장굴과 함께 천연기념물 제98호로 지정, 세계문화유산 등록. [제주 김녕굴 및 만장굴] 천연기념물 제98호(1962.12.03 지정) ※ 공개제한 · 제주시 구좌읍 김녕리 · 천연기념물 제98호 · 세계자연유산 선정지역",,1.21875,,,,,,,,,,,,역사유적지,2.0,0.983491625038412
353,,,CNTS_300000000013029,0.9817094762106173,도깨비장군 활터,제주특별자치도 서귀포시 표선면 성읍정의현로55번길 7 (성읍리),"['제주체험', '활쏘기체험', '국궁체험', '양궁체험']",,0.0,0.0,(+82) 064-787-7466,국가공인 체육지도사 지도 하에 전통활 국궁과 올림픽 양궁 종목을 즐길 수 있는 체험장,,1.0,"사전예약제 운영중 09시 ~ 18시 (일요일 휴무) / 전화 예약 010-5566-8080 / 요일제 영업 : 월, 수, 금",중,,,"유료,10000","공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대",실외,09:00:00,18:00:00,09:00:00,18:00:00,역사유적지,2.0,0.9817094762106173
354,,,CNTS_200000000012454,0.9816739676202422,제주중앙성당,제주특별자치도 제주시 관덕로8길 14,"['휴식/힐링', '체험관광', '문화유적지', '사계절', '휴식/치유', '문화관광', '역사유적', '어트랙션', '관광지']",,0.0,2.0,(+82) 064-753-2271,1899년 제8대 조선교구장 뮈텔 주교가 프랑스 선교사 페네(Pyenet) 주임신부와 김원영 보좌신부를 파견하면서 설치한 고딕양식 성당이자 제주교구 최초의 본당,,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9816739676202422
355,,,CNTS_000000000019448,0.9815349615944953,귀덕연대,제주특별자치도 제주시 한림읍 귀덕14길 14-5,"['문화유적지', '봄', '문화관광', '역사유적']",3.0,0.0,6.0,(+82) 064-728-2731,"귀덕연대는 귀덕초등학교 북쪽에 있으며, 명월진에 소속되어 있다.",,1.21875,,,,,,,,,,,,역사유적지,2.0,0.9815349615944953
