명칭,전화번호,주소,위도,경도,주차 가능,조리 가능,픽업서비스,부대 시설,객실명,객실크기,기준인원,비수기주말최소,비수기주중최소,성수기,id
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원, 취사용품",로얄노천룸,30.0,5.0,330000.0,320000.0,451285.4586329832,70
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원",골드룸,20.0,2.0,120000.0,110000.0,164103.8031392666,71
그림리조트,064-713-0002,제주특별자치도 제주시 서해안로 620-1(용담삼동),33.5162143194,126.5034939547,가능,가능,불가,"BAR, TV, 드라이기, 목욕시설, 세면도구, 셀프조식바, 야외바베큐장, 야외수영장, 잔디정원",로얄룸,20.0,2.0,240000.0,220000.0,240000.0,72
제주목화휴양펜션,064-702-4334,제주특별자치도 서귀포시 남원읍 태위로 485,33.275813457,126.6994240677,가능,가능,불가,"TV, 공동 세탁실, 공동 취사장, 드라이기, 목욕시설, 세면도구, 취사용품, 카페, 편의점",라벤더,17.0,2.0,80000.0,70000.0,109402.5354261777,73
제주목화휴양펜션,064-702-4334,제주특별자치도 서귀포시 남원읍 태위로 485,33.275813457,126.6994240677,가능,가능,불가,"TV, 공동 세탁실, 공동 취사장, 드라이기, 목욕시설, 세면도구, 취사용품, 카페, 편의점",세이지,20.0,4.0,100000.0,90000.0,136753.1692827222,74
제주목화휴양펜션,064-702-4334,제주특별자치도 서귀포시 남원읍 태위로 485,33.275813457,126.6994240677,가능,가능,불가,"TV, 공동 세탁실, 공동 취사장, 드라이기, 목욕시설, 세면도구, 취사용품, 카페, 편의점",원룸/복층,25.0,6.0,150000.0,120000.0,205129.7539240833,75
제주목화휴양펜션,064-702-4334,제주특별자치도 서귀포시 남원읍 태위로 485,33.275813457,126.6994240677,가능,가능,불가,"TV, 공동 세탁실, 공동 취사장, 드라이기, 목욕시설, 세면도구, 취사용품, 카페, 편의점",페파민트,35.0,8.0,250000.0,200000.0,341882.9232068054,76
제주캐슬펜션,010-9990-6780,제주특별자치도 서귀포시 태평로92번길 36,33.24122571,126.5312505263,가능,가능,불가,"TV, 드라이기, 목욕시설, 무인카페, 바베큐장, 세면도구, 취사용품",디럭스,17.0,2.0,55000.0,55000.0,75214.2431054972,77
제주캐슬펜션,010-9990-6780,제주특별자치도 서귀포시 태평로92번길 36,33.24122571,126.5312505263,가능,가능,불가,"TV, 드라이기, 목욕시설, 무인카페, 바베큐장, 세면도구, 취사용품",패밀리 스위트,23.0,4.0,100000.0,79900.0,136753.1692827222,78
이어도성 펜션,064-738-0452,제주특별자치도 서귀포시 천제연로 113,33.2550779472,126.4179350411,불가,가능,불가,"TV, 목욕시설, 미니골프장, 바베큐장, 잔디정원, 취사용품",13평형,13.0,2.0,80000.0,70000.0,120000.0,79
이어도성 펜션,064-738-0452,제주특별자치도 서귀포시 천제연로 113,33.2550779472,126.4179350411,불가,가능,불가,"TV, 목욕시설, 미니골프장, 바베큐장, 잔디정원, 취사용품",16평형,16.0,2.0,100000.0,90000.0,140000.0,80
이어도성 펜션,064-738-0452,제주특별자치도 서귀포시 천제연로 113,33.2550779472,126.4179350411,불가,가능,불가,"TV, 목욕시설, 미니골프장, 바베큐장, 잔디정원, 취사용품",18평형,18.0,6.0,140000.0,120000.0,170000.0,81
이어도성 펜션,064-738-0452,제주특별자치도 서귀포시 천제연로 113,33.2550779472,126.4179350411,불가,가능,불가,"TV, 목욕시설, 미니골프장, 바베큐장, 잔디정원, 취사용품",35평형,35.0,8.0,200000.0,180000.0,250000.0,82
이어도성 펜션,064-738-0452,제주특별자치도 서귀포시 천제연로 113,33.2550779472,126.4179350411,불가,가능,불가,"TV, 목욕시설, 미니골프장, 바베큐장, 잔디정원, 취사용품",40평형,40.0,12.0,280000.0,220000.0,350000.0,83
비치스토리호텔 [한국관광 품질인증/Korea Quality],064-784-7400,제주특별자치도 제주시 조함해안로 492-5,33.5421529255,126.6654098459,가능,불가,불가,"TV, 목욕시설, 세면도구, 세탁실, 없음",트윈,8.0,2.0,70000.0,70000.0,90000.0,84
비치스토리호텔 [한국관광 품질인증/Korea Quality],064-784-7400,제주특별자치도 제주시 조함해안로 492-5,33.5421529255,126.6654098459,가능,불가,불가,"TV, 목욕시설, 세면도구, 세탁실, 없음",더블,5.0,2.0,60000.0,60000.0,80000.0,85
비치스토리호텔 [한국관광 품질인증/Korea Quality],064-784-7400,제주특별자치도 제주시 조함해안로 492-5,33.5421529255,126.6654098459,가능,불가,불가,"TV, 목욕시설, 세면도구, 세탁실, 없음",온돌,8.0,2.0,60000.0,60000.0,80000.0,86
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",에버그린,28.0,6.0,180000.0,180000.0,210000.0,87
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",오렌지,19.0,4.0,105000.0,105000.0,130000.0,88
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",스토리룸 15평,15.0,4.0,115000.0,115000.0,140000.0,89
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",에버 씨사이드,13.0,2.0,85000.0,85000.0,85000.0,90
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",별채,20.0,4.0,115000.0,115000.0,140000.0,91
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",스토리룸 13평,13.0,4.0,110000.0,110000.0,130000.0,92
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",돔하우스,7.0,2.0,75000.0,75000.0,85000.0,93
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",허니문마운틴,13.0,2.0,75000.0,75000.0,85000.0,94
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",허니문씨사이드,13.0,2.0,85000.0,85000.0,95000.0,95
제주 라임오렌지빌,064-767-3888,제주특별자치도 서귀포시 칠십리로 332,33.2462316012,126.5872538945,가능,가능,불가,"PC, TV, 목욕시설, 바베큐장, 세면도구, 조식레스토랑, 취사용품",방갈로,20.0,4.0,105000.0,105000.0,130000.0,96
