음식점 이름,음식점 주소,전화번호,태그,특징,상세페이지 주소,좌표,lat,lon,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,img,주차시설,가성비,반려동물동반,위생,로컬 맛집,조용한,좋은 분위기,오션뷰,뷰가 좋은,theme,리뷰,has_required_food,id
섬소나이,제주특별자치도 제주시 우도면 우도해안길 814,064-784-2918,"데이트, 해장","캐주얼한, 예약, 아침식사, 점심식사, 무료주차",https://www.diningcode.com/profile.php?rid=pEUZlI4vaL5I,"{'lat': '33.5133124615907', 'lng': '126.957572045654'}",33.51331246,126.957572,9:30,17:00,9:30,17:00,https://api.cdn.visitjeju.net/photomng/imgpath/202111/11/7a8f197f-e23b-43f9-b3e7-ecbcdc74cb8c.jpg,True,False,False,False,False,False,True,False,False,"#짬뽕 #피자 #땅콩아이스크림
#음식 #해물짬뽕 #크림파스타 #아이스크림 #2022고메페스타 #백짬뽕 #불짬뽕 #크림짬뽕",109.6,False,10
로뎀가든,제주특별자치도 제주시 우도면 우도해안길 264,064-782-5501,"가족외식, 데이트","푸짐한, 원조, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=Q3LF8eUlS4mb,"{'lat': '33.5036210288227', 'lng': '126.942751124356'}",33.50362103,126.9427511,9:00,20:30,9:00,20:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6cae0500-476a-4b7f-bc7a-fb2232efa31d.png,True,False,False,False,False,False,False,False,False,"#흑돼지주물럭 #한라산볶음밥 #한치해물파전
#음식 #한치 #주물럭 #해물파전 #전복죽",74.3,False,11
풍원,제주특별자치도 제주시 우도면 우도해안길 340,0507-1371-1894,"가족외식, 식사모임","서민적인, 원조, 아침식사, 점심식사, 저녁식사, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=ZK3FQnnzmegF,"{'lat': '33.5083026205985', 'lng': '126.943970036182'}",33.50830262,126.94397,9:00,17:30,9:00,17:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a37de9af-1c08-49b6-8fc2-8b41a3137fae.jpg,True,True,False,False,False,False,False,False,False,"#돼지주물럭 #한라산볶음밥 #한치주물럭
#음식 #전복죽 #한치 #주물럭 #볶음밥",102.3,False,12
고집돌우럭중문점,제주특별자치도 서귀포시 일주서로 879,0507-1408-1540,"가족외식, 부모님","푸짐한, 런치스페셜, 아침식사, 점심식사, 저녁식사, 예약가능, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=o2In8ACxt2WI,"{'lat': '33.2579833781002', 'lng': '126.416707323322'}",33.25798338,126.4167073,10:00,21:30,10:00,21:30,https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0182741b-8637-4e4a-bd31-7ed8b1bcce98.jpg,True,False,False,False,False,False,False,False,False,"#우럭 #우럭조림 #우럭매운탕
#음식 #매운탕 #횔어우럭매운탕 #갈치구이 #생선구이정식 #옥돔구이 #미역국 #왕새우튀김 #방어 #회무침 #전복조림 #돼지수육 #회 #모둠회 #전채요리 #전복죽",98.3,False,13
부촌,제주특별자치도 서귀포시 성산읍 동류암로 43,064-784-0149,"다코숨은맛집, 혼밥, 가족외식","서민적인, 깔끔한, 아침식사, 점심식사, 저녁식사, 셀프코너, 무료주차",https://www.diningcode.com/profile.php?rid=EVCqv9bDJ0d7,"{'lat': '33.4485623355274', 'lng': '126.915947601442'}",33.44856234,126.9159476,10:30,22:00,10:30,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/8231d26f-9054-4514-93d3-bf322c5075f0.jpg,True,True,False,True,False,False,False,False,False,"#한식 #갈치조림 #고등어조림
#음식 #갈치 #제주갈치조림 #고등어 #고등어구이 #막걸리",119.4,False,14
산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,064-794-2165,"제주도민맛집, 배틀트립, 가족외식, 데이트","서민적인, 현지인맛집, 점심식사, 아기의자, 무료주차",https://www.diningcode.com/profile.php?rid=HoX3uPnWJhrc,"{'lat': '33.223362891958', 'lng': '126.254198293055'}",33.22336289,126.2541983,11:00,18:00,11:00,18:00, https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/bd53846e-c045-4e8c-951c-06af681911a8.gif,True,True,False,False,True,False,False,False,False,"#밀냉면 #비빔밀냉면 #수육
#한식 #향토음식 #음식 #냉면 #2022고메페스타",93.7,False,15
한림칼국수제주본점,제주특별자치도 제주시 한림읍 한림해안로 139,0507-1442-3371,"다코숨은맛집, 가족외식, 해장","서민적인, 푸짐한, 아침식사, 점심식사, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=Q5b2vRbOoC4I,"{'lat': '33.4154270264793', 'lng': '126.261271759123'}",33.41542703,126.2612718,7:00,15:00,7:00,15:00,https://api.cdn.visitjeju.net/photomng/imgpath/202201/10/d8a205f8-2cd9-4c31-a300-becfa2220df6.jpg,True,True,False,False,False,False,False,False,False,"#칼국수 #보말 #보말칼국수
#음식 #닭칼국수 #보말죽 #매생이해물전",117.4,False,16
경미네집,제주특별자치도 서귀포시 성산읍 일출로 259,0507-1326-2671,"생활의달인, 원나잇푸드트립, 혼밥, 해장","서민적인, 얼큰, 아침식사, 점심식사, 무료주차",https://www.diningcode.com/profile.php?rid=74Eot4yl2sgq,"{'lat': '33.4612390916844', 'lng': '126.933504757815'}",33.46123909,126.9335048,7:30,18:00,7:30,18:00, https://api.cdn.visitjeju.net/photomng/thumbnailpath/201804/30/0076fc6a-2db6-4baf-b5b6-a42131a17a6e.jpg,True,True,False,False,False,False,False,False,False,"#해물라면 #전복밥 #성게밥
#한식 #음식 #전복죽 #라면 #회덮밥 #덮밥 #해산물 #성게 #멍게 #전복 #문어숙회 #소라 #해삼 #해산물모둠 #소라회 #회",116.0,False,17
국수마당본점,제주특별자치도 제주시 삼성로 65,064-727-6001,"제주도민맛집, 식사모임, 혼밥","서민적인, 현지인맛집, 아침식사, 점심식사, 저녁식사, 셀프코너, 무료주차",https://www.diningcode.com/profile.php?rid=jpkzoDbWEBE1,"{'lat': '33.5080695482952', 'lng': '126.532203576971'}",33.50806955,126.5322036,8:20,23:50,8:20,23:50,https://api.cdn.visitjeju.net/photomng/imgpath/202407/24/fc30b4d3-180f-4f3e-b153-ac5b5149dec2.jpg,True,True,False,False,True,False,False,False,False,"#제주 #고기국수 #제주도음식
#제주고기국수 #국수거리 #제주음식 #국수 #국수거리 #제주맛집 #신산공원",102.3,False,18
숙성도중문점,제주특별자치도 서귀포시 일주서로 982,064-739-5213,"가족외식, 데이트","시끌벅적한, 예약, 점심식사, 저녁식사, 예약필수, 아기의자, 무료주차",https://www.diningcode.com/profile.php?rid=Uaxo8StmLVcX,"{'lat': '33.2585590682091', 'lng': '126.405966620554'}",33.25855907,126.4059666,12:00,22:00,12:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201810/30/9d506fd3-8b27-449d-898b-a79447b9cec8.jpg,True,False,False,False,False,False,False,False,False,"#고기국수 #성게국밥 #회국수
#비빔국수 #음식 #돔베고기 #밀면 #왕만두 #국수 #수육 #몸국 #만두",116.5,False,19
동복리해녀촌,제주특별자치도 제주시 구좌읍 동복로 33,064-783-5438,"가족외식, 식사모임","서민적인, 바다뷰, 아침식사, 점심식사, 저녁식사, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=okWxXUBTOFHQ,"{'lat': '33.55366594917', 'lng': '126.709888469555'}",33.55366595,126.7098885,9:00,19:00,9:00,19:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4262451c-24e3-4462-88ae-993807a9623c.jpg,True,True,False,False,False,False,False,True,False,"#전복죽 #회국수 #성게국수
#음식 #물회 #한치물회 #전복물회 #문어물회 #소라물회 #고등어구이 #한치 #무장애관광 #해산물 #전복 #회 #생선회 #한치회 #해삼 #낙지 #멍게 #소라 #문어 #국수 #자리물회 #모듬물회 #덮밥 #회덮밥 #매운탕 #고등어조림 #갈치구이 #갈치조림 #성게미역국 #전복뚝배기 #뚝배기 #전복회 #고등어회 #갈치회 #해산물모둠",115.2,False,20
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,064-782-7330,"식사모임, 술모임","시끌벅적한, 오션뷰, 점심식사, 저녁식사, 연탄구이, 연탄불, 무료주차",https://www.diningcode.com/profile.php?rid=SzOyuRFj4V8T,"{'lat': '33.4691643005487', 'lng': '126.919750408189'}",33.4691643,126.9197504,12:00,22:00,12:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/f55ed850-f9fe-4548-9445-2f429611f533.jpg,True,False,False,False,False,False,False,True,False,"#근고기 #흑돼지 #김치찌개
#음식 #흑돼지구이 #제주백돼지 #열무국수",93.3,False,21
양가형제,제주특별자치도 제주시 한경면 청수동8길 3,0507-1405-7734,"데이트, 혼밥","캐주얼한, 예약, 점심식사, 저녁식사, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=gZRG8acsN3Sr,"{'lat': '33.3073576010795', 'lng': '126.254020912003'}",33.3073576,126.2540209,11:00,19:30,11:00,19:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/8ca66ef9-524d-4f19-9315-9db4f71081ff.jpg,True,False,True,False,False,False,True,False,False,"#버거 #수제버거 #맥주
#음료 #음식 #햄버거 #치즈버거 #감자튀김 #어니언링 #불고기버거 #새우버거 #쉐이크 #밀크쉐이크 #술",111.4,False,22
어진이네횟집,제주특별자치도 서귀포시 보목포로 93,0507-1430-7442,"백종원의3대천왕, 아이동반, 식사모임","푸짐한, 오션뷰, 아침식사, 점심식사, 저녁식사, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=LXOPr22i71PL,"{'lat': '33.2409695584437', 'lng': '126.610921463977'}",33.24096956,126.6109215,10:00,20:00,10:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202301/27/136ff141-de7e-439b-85bc-10de78bdd690.jpg,True,False,False,False,False,False,False,True,False,"#회 #횟집 #자리물회
#물회 #음식 #한치물회 #전복물회 #문어물회 #소라물회 #매운탕 #한치 #해물탕 #해삼물회 #갈치구이 #갈치조림 #흑돼지구이 #성게미역국 #몸국 #전복죽 #양념게장 #돌솥밥 #전복돌솥밥 #회무침 #파전 #해물파전 #옥돔구이 #고등어구이 #전복장 #지리탕",92.1,False,23
연미정,제주특별자치도 제주시 세평항로 14,0507-1361-8856,"가족외식, 혼밥","서민적인, 깔끔한, 아침식사, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=LcSTBl5ZRn1r,"{'lat': '33.524632441897', 'lng': '126.853841150059'}",33.52463244,126.8538412,9:00,21:00,9:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/e8074775-dd04-40d2-99ed-0faf13039784.jpg,True,True,False,True,False,False,False,False,False,"#전복구이 #전복죽 #전복가마솥밥
#전복회 #음식 #전복 #전복뚝배기",99.1,False,24
해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2340,064-782-5664,"맛있는녀석들, 가족외식, 데이트","서민적인, 현지인맛집, 아침식사, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=Anxhh3q2rrkG,"{'lat': '33.4922552414052', 'lng': '126.909632790972'}",33.49225524,126.9096328,8:00,20:30,8:00,20:30,https://api.cdn.visitjeju.net/photomng/imgpath/201910/07/7cff82d3-6138-4252-9ed0-c06a591f0e12.jpg,True,True,False,False,True,False,False,False,False,"#보말칼국수 #성게물회 #보말죽
#향토음식 #음식 #문어숙회 #해산물 #물회 #전복물회 #칼국수 #모듬물회 #죽 #전 #부추전 #해물전 #회무침 #문어무침 #해물칼국수 #전복 #뿔소라 #소라숙회 #멍게",110.1,False,25
목포고을,제주특별자치도 서귀포시 일주서로 968-5,064-738-5551,"가족외식, 술모임","서민적인, 현지인추천, 점심식사, 저녁식사, 연탄구이, 연탄불, 무료주차",https://www.diningcode.com/profile.php?rid=bITBItG78d1I,"{'lat': '33.2583892884218', 'lng': '126.407080217774'}",33.25838929,126.4070802,12:00,22:30,12:00,22:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9505d73c-0456-4a5d-b10b-7908c1108597.jpg,True,True,False,False,False,False,False,False,False,"#목살 #오겹살 #열무국수
#김치찌개 #음식 #흑돼지 #흑돼지구이 #된장찌개 #2022고메페스타",94.2,False,26
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089,0507-1479-6466,"가족외식, 식사모임","서민적인, 현지인맛집, 아침식사, 점심식사, 저녁식사, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=Jxsxhmyk0nJn,"{'lat': '33.4842760852252', 'lng': '126.406766486505'}",33.48427609,126.4067665,8:00,21:00,8:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/03496fd0-ea73-4b68-8c1e-a28da814a411.jpg,True,True,False,False,True,False,False,False,False,"#갈치조림 #옥돔구이 #해물뚝배기
#한치물회 #쌈밥 #음식 #고등어 #전복뚝배기 #성게미역국 #성게국 #한치 #쌈밥정식 #두루치기 #흑돼지두루치기 #두루치기쌈밥정식 #간장게장 #뚝배기 #성게전복미역국 #전복죽 #갈치구이 #고등어구이 #전복구이",116.1,False,27
성읍칠십리식당,제주특별자치도 서귀포시 표선면 성읍정의현로 74,0507-1438-0935,"백종원의3대천왕, 가족외식, 술모임","서민적인, 노포, 점심식사, 저녁식사, 좌식테이블, 무료주차",https://www.diningcode.com/profile.php?rid=EsAwTnPPfbm7,"{'lat': '33.3892721233315', 'lng': '126.801355320666'}",33.38927212,126.8013553,11:00,20:00,11:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/6294ed5c-ad16-4ae1-a624-f82e2cab00a1.JPG,True,True,False,False,True,False,False,False,False,"#삼겹살 #초벌구이 #흑돼지
#음식 #흑돼지구이 #오겹살 #옥돔 #옥돔구이 #비빔밥 #꿩고기 #돼지주물럭 #빈대떡 #쑥빈대떡 #흑돼지오겹살 #목살 #감자국수 #전지",91.8,False,28
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192,064-739-1070,"다코숨은맛집, 가족외식, 해장","서민적인, 가성비좋은, 아침식사, 점심식사",https://www.diningcode.com/profile.php?rid=hasgzddQjIRn,"{'lat': '33.2515665716172', 'lng': '126.425000716964'}",33.25156657,126.4250007,8:00,17:00,8:00,17:00,https://api.cdn.visitjeju.net/photomng/imgpath/202301/18/71029ebd-050a-494e-b909-cd8761844734.jpg,False,True,False,False,False,False,False,False,False,"#톳보말칼국수 #톳성게칼국수 #칼국수
#음식 #전복죽 #막걸리 #보말 #보말칼국수 #물만두 #보말죽",146.6,False,29
중앙식당,제주특별자치도 서귀포시 안덕면 화순로 108,064-794-9167,식사모임,"서민적인, 향토음식, 아침식사, 점심식사, 저녁식사, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=RWiRX3Px87uC,"{'lat': '33.24669768923', 'lng': '126.334930152496'}",33.24669769,126.3349302,6:00,20:00,6:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/e535d1d2-e963-48f5-854b-d4d7f1da8c0c.gif,True,True,False,False,False,False,False,False,False,"#성게보말국 #갈치국 #갈치구이
#한식 #음식 #해물뚝배기 #전복해물탕 #보말 #성게국 #전복뚝배기 #도가니탕 #갈비탕 #육개장 #소내장탕 #김치찌개 #해물된장찌개 #한치물회 #전복물회 #물회 #고등어구이 #갈치조림 #오징어볶음 #돼지고기볶음 #도가니전골 #자리물회",73.4,False,30
김희선몸국,제주특별자치도 제주시 어영길 45-6,064-745-0047,"가족외식, 해장","서민적인, 얼큰, 아침식사, 점심식사, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=E55qlHIVVscR,"{'lat': '33.5185567991117', 'lng': '126.49807778062'}",33.5185568,126.4980778,7:00,16:00,7:00,15:00,https://api.cdn.visitjeju.net/photomng/imgpath/202111/03/e53a0ff1-77db-433f-a0ad-e3482c24a0d2.jpg,True,True,False,False,False,False,False,False,False,"#몸국 #향토음식 #한식
#음식 #고사리 #해장국 #성게미역국 #고등어구이 #육개장 #미역국 #착한가격업소",126.4,False,31
노라바,제주시 애월읍 구엄길 100,0507-1360-1900,"데이트, 식사모임","서민적인, 예약, 아침식사, 점심식사, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=Bk6Rsr5WKQxw,"{'lat': '33.4827917364341', 'lng': '126.376306099844'}",33.48279174,126.3763061,10:00,16:30,10:00,16:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/bd4a991c-39fd-4fc0-a661-963b365d0996.jpg,True,True,False,False,False,False,False,True,False,"#해물라면 #돌문어 #맥주
#음식 #도시락 #문어숙회 #라면 #문어라면",114.2,False,32
독개물항한림본점,제주특별자치도 제주시 한림읍 한림로 478,064-796-3966,해장,"푸짐한, 향토음식, 아침식사, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=0ano5Os9czFE,"{'lat': '33.4018725709931', 'lng': '126.251600866683'}",33.40187257,126.2516009,9:00,21:00,9:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202010/21/8986cfdc-7465-4208-b6fa-3e231640d70d.JPG,True,False,False,False,False,False,False,False,False,"#오분자기 #해물뚝배기 #향토음식
#보말물회 #음식 #갈치조림 #제주갈치조림 #갈치구이 #제주갈치구이 #성게미역국 #전복죽 #보말죽 #전복뚝배기 #2022고메페스타 #무장애관광",78.6,False,33
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16,0507-1336-3827,"식객허영만의백반기행, 한식대첩, 식사모임, 가족외식","시끌벅적한, 서민적인, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=5YS1mbFxkpiP,"{'lat': '33.393342328246', 'lng': '126.801092828441'}",33.39334233,126.8010928,7:30,21:00,7:30,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/0c453408-ff6a-41c1-af73-32b2ce452966.jpg,True,True,False,False,False,False,False,False,False,"#향토음식 #갈치조림 #두루치기
#접짝뼈국 #음식 #제주갈치조림 #갈치구이 #제주갈치구이 #고등어구이 #고등어 #옥돔구이 #흑돼지두루치기 #전복 #문어 #고등어조림 #전복뚝배기 #뚝배기 #성게미역국 #몸국 #흑돼지구이",89.7,False,34
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44,064-794-6300,"술모임, 식사모임","서민적인, 예약, 점심식사, 저녁식사, 포장가능, 무료주차",https://www.diningcode.com/profile.php?rid=vVEfCrME6esx,"{'lat': '33.2178729065457', 'lng': '126.249794723487'}",33.21787291,126.2497947,11:00,21:00,11:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202201/07/0ab99279-d328-4f8f-99d3-47d9b559e196.jpg,True,True,False,False,False,False,False,False,False,"#횟집 #고등어회 #고등어조림
#한치회 #음식 #한치 #고등어 #고등어구이 #갈치조림 #회 #생선구이",85.7,False,35
스시호시카이,제주특별자치도 제주시 오남로 90,0507-1327-8838,"데이트, 기념일","고급스러운, 런치코스, 점심식사, 저녁식사, 유아의자, 무료주차",https://www.diningcode.com/profile.php?rid=LWHWJoAis46m,"{'lat': '33.4877781624272', 'lng': '126.517540952346'}",33.48777816,126.517541,12:00,21:00,12:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/202111/02/5ded7a46-14c1-4cae-8320-bbdcdf84b647.jpg,True,False,False,False,False,False,True,False,False,"#스시 #일식 #오마카세
#회 #초밥 #음식 #2022고메페스타",92.3,False,36
신설오름,제주특별자치도 제주시 고마로17길 2,064-758-0143,"다코숨은맛집, 제주도민맛집, 혼밥, 해장","서민적인, 현지인맛집, 아침식사, 점심식사, 저녁식사",https://www.diningcode.com/profile.php?rid=GXLwZ3tFLQq7,"{'lat': '33.5054323342969', 'lng': '126.54157053505'}",33.50543233,126.5415705,8:00,4:00,8:00,4:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a0caf6ac-0d1f-40ed-9fcf-929ab9033731.jpg,False,True,False,False,True,False,False,False,False,"#몸국 #돔베고기 #한치회
#한치물회 #음식 #고등어구이 #고기국수 #소라물회 #물회 #소라 #한치 #국수 #산낙지 #해삼물회 #전복물회 #회 #해삼회 #소라회 #전복회",121.6,False,37
