,Unnamed: 0,VISIT_AREA_NM,RAD_NM_ADDR,VISIT_AREA_TYPE_CD,TRAVEL_ID,SID_NM,SGG_NM,DNG_NM,포함여부 ,Unnamed: 9,HASHTAGS
39,55,판교박물관,경기 성남시 분당구 판교로 191,2,a_a001364,경기도,성남시 분당구,백현동,,,#문화탐방 #지적충전 #역사탐험 #과거의여행 #배움의기쁨 #전시의매력 #예술과만남 #호기심자극 #지식의향연 #숨겨진보물 #역사의흔적 #현대와과거 #감성여행 #독특한경험 #추억만들기
40,56,동춘서커스 상설공연장,경기 안산시 단원구 대부황금로 1426,3,a_a001256,경기도,시흥시,정왕동,,,#경이로운경험 #숨막히는스릴 #화려한공연 #감동의물결 #눈부신연기 #마법같은순간 #환상적인시간 #흥미진진한 #아찔한순간 #비현실적인느낌 #감탄의연속 #쾌감충전 #긴장감넘치는 #예술의극치 #잊지못할추억
41,57,동대문 문구완구시장,서울 종로구 종로52길 36,4,a_a000982,서울특별시,중구,을지로6가,,,#다양한발견 #동심으로 #신기한세상 #창의력폭발 #색다른체험 #반짝이는아이템 #아이들과함께 #상상력자극 #재미있는탐험 #아이디어뱅크 #반짝반짝빛나는 #추억의물건 #오래된기억 #작은행복 #설레는순간
42,58,동대문디자인플라자(DDP,서울 중구 을지로 281,2,a_a000982,서울특별시,중구,을지로6가,,,#창의력자극 #미래적인분위기 #혁신적인공간 #독특한체험 #예술적인영감 #현대적인아름다움 #디자인의향연 #감각적인경험 #도시속예술 #감성충만 #영감받기좋은곳 #예술과기술의융합 #창작의즐거움 #독창적인경험 #새로운발견
43,59,흥인지문,서울 종로구 종로 288,2,a_a000982,서울특별시,중구,을지로6가,,,#역사의향기 #웅장한기운 #전통의아름다움 #문화유산탐방 #고유한매력 #고요한시간 #과거로의여행 #유구한역사 #문화적자부심 #흥미로운발견 #잊지못할순간 #고전적아름다움 #마음의안식처 #역사적감동 #잔잔한여운
44,60,이정웅 스페이스,경기 가평군 청평면 북한강로 1921,3,a_a002849,경기도,파주시,광탄면,,,#예술적영감 #고요한휴식 #마음의쉼터 #자연과함께 #창의력자극 #평온한순간 #조용한몰입 #잊지못할경험 #감성충만 #자연의조화 #독특한여행 #정서적안정 #영감의장소 #내면의여행 #풍경과일체
45,61,벽초지수목원,경기 파주시 광탄면 부흥로 242,1,a_a002849,경기도,파주시,광탄면,,,#자연속의평화 #마음의안식처 #녹음의향연 #산책의기쁨 #힐링스팟 #봄내음가득 #가을의낭만 #초록의정원 #감성여행 #고요한시간 #맑은공기 #자연과함께 #여유로운순간 #생태체험 #잔잔한행복
46,62,현대프리미엄아울렛 송도점,인천 연수구 송도국제대로 123,4,a_a014278,인천광역시,연수구,송도동,,,#현대적공간 #쇼핑천국 #럭셔리감성 #세련된분위기 #다채로운경험 #화려한빛깔 #특별한순간 #트렌디한장소 #도심속휴식 #즐거운발견 #스타일리시한여행 #고급스러운시간 #활기찬에너지 #매력적인경험 #기분좋은하루
47,63,톨장군네,경기 성남시 분당구 석운로 201-2,4,a_a007887,경기도,수원시 팔달구,남창동,,,#따뜻한환영 #감성적인분위기 #편안한쉼터 #독특한경험 #아늑한공간 #정겨운분위기 #맛있는기억 #특별한순간 #행복한추억 #아름다운경관 #차분한시간 #기분좋은시간 #유쾌한만남 #편안한시간 #마음의여유
48,64,화성행궁,경기 수원시 팔달구 정조로 825,2,a_a007887,경기도,수원시 팔달구,남창동,,,#역사탐방 #평온한산책 #고요한시간 #옛정취 #문화유산 #감동의순간 #마음의안식 #고전미 #감성여행 #전통의향기 #기억속여행 #심신안정 #매력적인경험 #잔잔한기쁨 #문화적충격
49,65,방화수류정,경기 수원시 팔달구 수원천로392번길 44-6,2,a_a007887,경기도,수원시 팔달구,남창동,,,#역사와함께 #자연과더불어 #고요한시간 #유서깊은 #마음의안식처 #문화유산탐방 #아늑한기억 #고풍스러운 #감성여행 #전통의아름다움 #여유로운순간 #잔잔한휴식 #여행의감동 #고전의정취 #평온한시간
50,66,잠실종합운동장 올림픽주경기장,서울 송파구 올림픽로 25,5,a_a013688,서울특별시,송파구,잠실동,,,#웅장한경험 #스포츠열기 #에너지넘치는 #활기찬분위기 #다채로운경험 #추억만들기 #감동의순간 #신선한자극 #현장감있는 #역동적인시간 #매력적인공간 #흥미진진한 #도전정신 #함께하는기쁨 #특별한시간
51,67,인천항갑문,인천 중구 월미로 376,1,a_a013688,서울특별시,송파구,잠실동,,,#웅장한느낌 #고요한바다 #자연의위대함 #탁트인전망 #바다내음가득 #감탄스러운경치 #신비로운분위기 #자연과교감 #마음의안식처 #잊지못할순간 #평온한시간 #경이로운체험 #맑은공기 #여유로운산책 #독특한경험
52,68,템플,서울 마포구 와우산로 147-1,3,a_a013688,서울특별시,송파구,잠실동,,,#현대적미학 #정교한디자인 #감각적인경험 #도심속예술 #차분한시간 #감성포토스팟 #창조적영감 #섬세한조화 #몰입의시간 #예술적몰입 #감동의순간 #사색의공간 #낯선매력 #컬처스페이스 #도시의숨결
53,69,안흥지 애련정,경기 이천시 중리천로113번길 12,1,a_a005677,경기도,이천시,창전동,,,#자연과함께 #고요한순간 #마음의안식처 #역사의숨결 #문화탐방 #한적한시간 #감동의여운 #전통의아름다움 #고즈넉한풍경 #영감의순간 #감성여행 #고전미학 #마음의평화 #전통의향기 #힐링공간
54,70,이천시립월전미술관,경기 이천시 경충대로2709번길 185,3,a_a005677,경기도,이천시,창전동,,,#예술의향연 #영감의순간 #문화적풍요로움 #깊은감동 #내면의여정 #정서적충전 #감각의축제 #아름다움의발견 #고요한감상 #예술속으로 #창작의불꽃 #풍부한감성 #마음의여유 #감동의물결 #예술적충격
55,71,관고전통시장,경기 이천시 중리천로21번길 6,4,a_a005677,경기도,이천시,창전동,,,#다채로운풍경 #소박한매력 #정겨운분위기 #지역의맛 #따뜻한사람들 #오감만족 #전통의향기 #향토의맛 #정겨운교감 #현지의일상 #원초적인매력 #친근한소통 #풍성한체험 #소소한행복 #일상의특별함
56,72,명동난타극장,서울 중구 명동길 26,3,a_a002612,서울특별시,중구,명동2가,,,#문화의향연 #화려한무대 #신비로운경험 #흥미진진한순간 #예술의감동 #독특한체험 #몰입의시간 #기대감충만 #색다른매력 #생동감넘치는 #창의적인공연 #열정의무대 #전율의순간 #기쁨의파도 #문화적충격
57,73,그랜드워커힐서울 컨벤션센터,서울 광진구 워커힐로 177,3,a_a001671,서울특별시,광진구,광장동,,,#고급스러운분위기 #우아한경험 #특별한순간 #럭셔리한시간 #세련된매력 #프리미엄체험 #멋진기억 #차분한휴식 #품격있는공간 #아름다운장소 #고요한시간 #편안한휴식 #한적한분위기 #여유로운시간 #기분좋은여행
58,74,롯데백화점 건대스타시티점,서울 광진구 능동로 92,4,a_a001671,서울특별시,광진구,광장동,,,#세련된쇼핑 #도심속휴식 #화려한조명 #현대적인분위기 #감각적인디자인 #프리미엄경험 #고품격서비스 #다채로운매장 #트렌디한아이템 #스타일리시한 #문화와쇼핑의조화 #럭셔리한시간 #맛있는여행 #편리한시설 #도시의활기
59,75,팔달문,경기 수원시 팔달구 정조로 780,2,a_a001840,경기도,수원시 팔달구,남창동,,,#역사의숨결 #평온한시간 #고요한아침 #문화탐방 #유서깊은곳 #감동의순간 #마음의안식처 #전통의미 #감성여행 #옛정취 #시간의흐름 #추억의장소 #힐링의시간 #매력적인장소 #잔잔한여운
60,76,에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,6,a_a011215,경기도,성남시 중원구,성남동,,,#동화속세상 #환상적인경험 #모험가득 #감탄의연속 #색다른체험 #즐거운추억 #다양한테마 #끝없는즐거움 #자연속힐링 #마법같은순간 #가족과함께 #친구와함께 #로맨틱한데이트 #스릴넘치는 #동심으로돌아가기
61,78,낙천지,경기 포천시 영북면 산정호수로411번길 15-30,1,a_a000035,경기도,포천시,이동면,,,#자연속의여유 #맑은공기 #평온한산책 #아름다운경치 #물멍타임 #자연과함께 #마음의치유 #고요한시간 #자연의소리 #힐링스팟 #풍경에젖다 #산림욕 #눈부신자연 #마음의평화 #자연속쉼터
62,79,백운계곡관광지,경기 포천시 이동면 포화로 236-73,1,a_a000035,경기도,포천시,이동면,,,#자연의품속 #맑은공기 #산속휴식 #청정자연 #고요한휴식 #평온한시간 #마음의안식처 #자연속으로 #힐링여행 #여유로운시간 #산림욕 #자연치유 #새소리듣기 #조용한여행 #편안한공간
63,80,북촌한옥마을,서울 종로구 북촌로11길 49,7,a_a009510,서울특별시,종로구,종로4가,,,#전통의숨결 #고즈넉한아침 #시간의흔적 #역사의향기 #감성여행 #평온한마음 #문화유산탐방 #한옥의아름다움 #추억만들기 #잔잔한감성 #고요한마을 #정겨운풍경 #옛날풍경 #마음의휴식 #평화로운산책
64,81,그레이츠 판교,경기 성남시 분당구 분당내곡로 117,4,a_a003692,강원도,춘천시,남산면,,,#세련된분위기 #창의적인영감 #현대적미학 #감각적인공간 #도시의오아시스 #문화적충전 #소소한행복 #일상탈출 #모던한매력 #편안한휴식 #독특한경험 #힐링스팟 #감성적인순간 #갤러리느낌 #도심속여유
65,82,소래역사관,인천 남동구 아암대로 1605,2,a_a015750,인천광역시,부평구,부평동,,,#역사탐방 #문화재발견 #과거로의여행 #교육적인시간 #유산의중요성 #감성의여운 #생생한역사 #조용한성찰 #배움의기쁨 #역사의흔적 #문화의재발견 #감동적인순간 #배움의여정 #유익한시간 #지식의확장
66,83,인천대공원,인천 남동구 무네미로 236,1,a_a015750,인천광역시,부평구,부평동,,,#자연속에서 #힐링여행 #맑은공기 #여유로운시간 #평온한마음 #풍경속으로 #자연의소리 #숲속산책 #마음의여유 #편안한쉼터 #자연과함께 #힐링의장소 #감성충전 #느긋한시간 #행복한순간
67,84,인천대공원 환경미래관,인천 남동구 무네미로 238,6,a_a015750,인천광역시,부평구,부평동,,,#자연과하나됨 #생태체험 #환경보호의식 #교육적인시간 #초록빛향연 #도심속쉼터 #생명력넘치는 #순수한기쁨 #공기좋은날 #자연속산책 #생태계의이해 #마음의안식 #자연의소중함 #편안한휴식 #환경의미래
68,85,서울식물원 식물문화센터,서울 강서구 마곡동로 161,3,a_a002636,서울특별시,종로구,화동,,,#자연의경이 #평온한시간 #힐링여행 #심신안정 #생명의숨결 #자연속으로 #감성자극 #눈부신경관 #숲속여행 #생태체험 #마음의안식처 #순수한기쁨 #자연과동행 #초록의평화 #자연속휴식
69,86,현대시티아울렛 동대문점,서울 중구 장충단로13길 20,4,a_a002636,서울특별시,종로구,화동,,,#다양한매력 #쇼핑천국 #트렌디한공간 #현대적인분위기 #도심속여유 #특별한발견 #힙한스타일 #문화와쇼핑 #신선한경험 #패션의중심 #도심속힐링 #색다른즐거움 #눈이즐거운 #마음이풍성한 #잊지못할순간
70,87,칠궁,서울 종로구 창의문로 12,2,a_a002636,서울특별시,종로구,화동,,,#역사속발견 #평온한시간 #고요한정취 #시간을거슬러 #문화의숨결 #기억의조각 #깊은감동 #마음의안식 #고풍스러운아름다움 #감성여행 #전통의숨결 #추억의한페이지 #힐링의순간 #매력적인풍경 #잔잔한여운
71,88,청와대 본관,서울 종로구 청와대로 1,2,a_a002636,서울특별시,종로구,화동,,,#역사의숨결 #엄숙한분위기 #국가의중심 #감동적인장소 #역사의현장 #경외감 #중후한아름다움 #국가의상징 #장엄한순간 #의미있는발걸음 #고요한감동 #국민의집 #전통과현대 #깊은감동 #나라사랑
72,89,롯데아울렛 서울역점,서울 중구 한강대로 405,4,a_a002636,서울특별시,종로구,화동,,,#다채로운쇼핑 #현대적느낌 #활기찬분위기 #풍성한선택 #편리한위치 #세련된경험 #기쁨가득 #문화와쇼핑 #새로운발견 #도심속여유 #특별한하루 #스타일리시한 #유니크한아이템 #즐거운소비 #행복한순간
73,90,동대문종합시장,서울 종로구 종로 266,4,a_a002636,서울특별시,종로구,화동,,,#다양성의향연 #현대와전통의조화 #쇼핑천국 #발견의기쁨 #활기찬에너지 #문화의향연 #다채로운경험 #시장탐방 #트렌디한매력 #현지의맛 #이색적인체험 #컬러풀한풍경 #오감만족 #현장의생동감 #새로운발견
74,91,의정부음악도서관,경기 의정부시 장곡로 280,3,a_a017913,경기도,의정부시,의정부동,,,#음악의향연 #문화의숨결 #영감의순간 #마음의여유 #지식의향기 #조용한감동 #예술의정원 #감성의여행 #하모니의세계 #창작의기쁨 #영혼의울림 #순간의여운 #지적충전 #음악의정취 #평온한시간
75,92,AK플라자 AKTwn점,경기 수원시 팔달구 덕영대로 924,4,a_a017772,경기도,수원시 팔달구,지동,,,#다채로운경험 #문화의향연 #현대적감성 #도심속휴식 #활기찬분위기 #감각적인공간 #소소한행복 #여유로운산책 #일상탈출 #호기심자극 #맛있는모험 #새로운발견 #효율적인시간 #기분좋은여행 #쇼핑의즐거움
76,93,수원화성박물관,경기 수원시 팔달구 창룡대로 21,2,a_a017772,경기도,수원시 팔달구,지동,,,#역사의향기 #고요한감동 #문화탐방 #유익한시간 #정신의여유 #과거와의대화 #특별한경험 #학문의길 #고전의매력 #심오한여행 #지혜의발견 #호기심자극 #전통의가치 #감성여행 #지식의보물
77,94,수원화성,경기도 수원시 장안구 화서문로 5,2,a_a017772,경기도,수원시 팔달구,지동,,,#역사의발자취 #평온한순간 #조용한기쁨 #과거로의여행 #문화의향유 #눈부신기억 #감동의순간 #마음의안식처 #고전의아름다움 #감성의여유 #전통의미소 #추억의한페이지 #심신의휴식 #매혹적인풍경 #잔잔한감성
78,95,MUNIVERSE,화서문로 32번길 7-4,4,a_a006844,경기도,수원시 팔달구,팔달로1가,,,#창의적인공간 #영감의원천 #독특한경험 #마음의환기 #새로운발견 #이색적인매력 #감각적인미학 #기분전환 #취향저격 #생동감넘치는 #색다른즐거움 #호기심자극 #예술의향연 #일상의탈출 #상상력충전
79,96,풍동애니골,경기 고양시 일산동구 애니골길 15-46,4,a_a001261,경기도,고양시 일산서구,대화동,,,#감성적인곳 #특별한경험 #이국적인분위기 #아늑한시간 #아름다운풍경 #로맨틱한순간 #매력적인카페 #신비로운장소 #감동의순간 #편안한분위기 #조용한산책 #마음이평온해지는 #자연속휴식 #낭만적인날 #기분좋은하루
80,97,킨텍스 제2전시장,경기 고양시 일산서구 킨텍스로 217-59,3,a_a001261,경기도,고양시 일산서구,대화동,,,#웅장한공간 #다양한체험 #몰입의시간 #창의력자극 #현대적인설계 #문화탐방 #감각적인경험 #새로운발견 #역동적인분위기 #혁신적인공간 #신선한자극 #흥미진진 #지식의향연 #호기심자극 #기대감넘치는
